App Name,App ID,Developer,Downloads (Text),Downloads (Min Num),Release Date,Days Online,Rating,Ratings Count,Reviews Count,URL
PolyBuzz: Chat with AI Friends,ai.socialapps.speakmaster,CLOUD WHALE INTERACTIVE TECHNOLOGY LLC.,"10,000,000+",10000000,2023-06-02,964,4.1238265,853702,45348,https://play.google.com/store/apps/details?id=ai.socialapps.speakmaster&hl=en&gl=us
Chai: Chat AI Platform,com.Beauchamp.Messenger.external,Chai Research Corp.,"10,000,000+",10000000,2021-03-23,1765,4.2505207,536645,27900,https://play.google.com/store/apps/details?id=com.Beauchamp.Messenger.external&hl=en&gl=us
ChatGPT,com.openai.chatgpt,OpenAI,"500,000,000+",500000000,2023-07-21,915,4.771635,36142601,138409,https://play.google.com/store/apps/details?id=com.openai.chatgpt&hl=en&gl=us
Google Gemini,com.google.android.apps.bard,Google LLC,"1,000,000,000+",1000000000,2024-02-05,716,4.590996,26264957,111809,https://play.google.com/store/apps/details?id=com.google.android.apps.bard&hl=en&gl=us
"Character AI: Chat, Talk, Text",ai.character.app,Character.AI,"50,000,000+",50000000,2023-05-22,975,3.4874806,2012086,67874,https://play.google.com/store/apps/details?id=ai.character.app&hl=en&gl=us
Grok • Smartest AI Advisor,ai.x.grok,xAI,"50,000,000+",50000000,2025-03-24,303,4.8668857,2084628,27327,https://play.google.com/store/apps/details?id=ai.x.grok&hl=en&gl=us
Talkie: Creative AI Community,com.weaver.app.prod,SUBSUP,"50,000,000+",50000000,2023-06-16,950,4.5623336,704037,64966,https://play.google.com/store/apps/details?id=com.weaver.app.prod&hl=en&gl=us
WristAnswers: AI Chat WearOS,angel.gabaldon.wearosgpt,Ángel Gabaldón,"100,000+",100000,2024-06-01,599,3.89,1476,45,https://play.google.com/store/apps/details?id=angel.gabaldon.wearosgpt&hl=en&gl=us
Meta AI - Vibes & AI Glasses,com.facebook.stella,"Meta Platforms, Inc.","10,000,000+",10000000,2021-09-08,1596,4.585917,1011562,6139,https://play.google.com/store/apps/details?id=com.facebook.stella&hl=en&gl=us
"Linky AI: Chat, Play, Connect",com.aigc.ushow.ichat,Skywork AI Pte. Ltd.,"10,000,000+",10000000,2023-07-03,933,4.0771327,120059,14658,https://play.google.com/store/apps/details?id=com.aigc.ushow.ichat&hl=en&gl=us
